curator_name,profile_link,followers,recommendation
Top Sellers,https://store.steampowered.com/curator/44263702-Top-Sellers/?snr=1_1050_curatorsreviewing_,"3,512",INFORMATIONAL
Bruce's Batcave,https://store.steampowered.com/curator/33093599-Bruce%2527s-Batcave/?snr=1_1050_curatorsreviewing_,"4,315",RECOMMENDED
Oliver Age 24,https://store.steampowered.com/curator/6859243-Oliver-Age-24/?snr=1_1050_curatorsreviewing_,"4,895",RECOMMENDED
First Person Exploration and Puzzle Games,https://store.steampowered.com/curator/9686972-First-Person-Exploration-and-Puzzle-Game/?snr=1_1050_curatorsreviewing_,"3,959",RECOMMENDED
McThunder's,https://store.steampowered.com/curator/37281857-McThunder%2527s/?snr=1_1050_curatorsreviewing_,"5,683",RECOMMENDED
Greatest Co-op Games,https://store.steampowered.com/curator/40212331-Greatest-Co-op-Games/?snr=1_1050_curatorsreviewing_,"3,141",RECOMMENDED
𝐓𝐡𝐞 𝐊𝐢𝐭𝐜𝐡𝐞𝐧,https://store.steampowered.com/curator/33316350-%25F0%259D%2590%2593%25F0%259D%2590%25A1%25F0%259D%2590%259E-%25F0%259D%2590%258A%25F0%259D%2590%25A2%25F0%259D%2590%25AD%25F0%259D%2590%259C%25F0%259D%2590%25A1%25F0%259D%2590%259E%25F0%259D%2590/?snr=1_1050_curatorsreviewing_,"8,300",RECOMMENDED
Doctor Gamer,https://store.steampowered.com/curator/42985504-Doctor-Gamer/?snr=1_1050_curatorsreviewing_,"22,336",RECOMMENDED
Source?,https://store.steampowered.com/curator/34798148-Source/?snr=1_1050_curatorsreviewing_,"3,302",INFORMATIONAL
Muselks Association Of Reputable Gentlemen!,https://store.steampowered.com/curator/5099041-Muselks-Association-Of-Reputable-Gentlem/?snr=1_1050_curatorsreviewing_,"3,351",RECOMMENDED
GeForce Now List,https://store.steampowered.com/curator/40191848-GeForce-Now-List/?snr=1_1050_curatorsreviewing_,"3,303",INFORMATIONAL
Indie Insight,https://store.steampowered.com/curator/43950186-Indie-Insight/?snr=1_1050_curatorsreviewing_,"2,622",RECOMMENDED
Couples Co-op Caravan,https://store.steampowered.com/curator/28571256-Couples-Co-op-Caravan/?snr=1_1050_curatorsreviewing_,"2,985",RECOMMENDED
Games You Absolutely Must Have,https://store.steampowered.com/curator/7154713-Games-You-Absolutely-Must-Have/?snr=1_1050_curatorsreviewing_,"2,958",RECOMMENDED
GameVortexx,https://store.steampowered.com/curator/44745316-GameVortexx/?snr=1_1050_curatorsreviewing_,"2,605",RECOMMENDED
The Blackmail association,https://store.steampowered.com/curator/30845842-The-Blackmail-association/?snr=1_1050_curatorsreviewing_,"4,867",RECOMMENDED
Nikotin Review,https://store.steampowered.com/curator/43838808-Nikotin-Review/?snr=1_1050_curatorsreviewing_,"2,556",RECOMMENDED
Zorbaba Review,https://store.steampowered.com/curator/43838804-Zorbaba-Review/?snr=1_1050_curatorsreviewing_,"2,494",RECOMMENDED
Virtual Vault,https://store.steampowered.com/curator/43950185-Virtual-Vault/?snr=1_1050_curatorsreviewing_,"2,449",RECOMMENDED
