curator_name,curator_link
ParallelGamingUniverse,https://store.steampowered.com/curator/44745360-ParallelGamingUniverse/?snr=1_1050_curatorsreviewing_
DigitalAdventurers,https://store.steampowered.com/curator/44745339-DigitalAdventurers/?snr=1_1050_curatorsreviewing_
CyberWarriorsHub,https://store.steampowered.com/curator/44745342-CyberWarriorsHub/?snr=1_1050_curatorsreviewing_
Digital Digest,https://store.steampowered.com/curator/43950189-Digital-Digest/?snr=1_1050_curatorsreviewing_
The Forgotten Scrolls,https://store.steampowered.com/curator/40586096-The-Forgotten-Scrolls/?snr=1_1050_curatorsreviewing_
Anti-Defamation League,https://store.steampowered.com/curator/36822965-Anti-Defamation-League/?snr=1_1050_curatorsreviewing_
No Curation,https://store.steampowered.com/curator/10767678-No-Curation/?snr=1_1050_curatorsreviewing_
Paradise Decay Game Reviews,https://store.steampowered.com/curator/6659922-Paradise-Decay-Game-Reviews/?snr=1_1050_curatorsreviewing_
Overwhelmingly Positive User Reviews,https://store.steampowered.com/curator/41140195-Overwhelmingly-Positive-User-Reviews/?snr=1_1050_curatorsreviewing_
Potato Vision,https://store.steampowered.com/curator/37056977-Potato-Vision/?snr=1_1050_curatorsreviewing_
Słeam Deck,https://store.steampowered.com/curator/41266960-S%25C5%2582eam-Deck/?snr=1_1050_curatorsreviewing_
Whore / Gore / Horror / Snore,https://store.steampowered.com/curator/35141205-Whore-Gore-Horror-Snore/?snr=1_1050_curatorsreviewing_
StmOdyssey,https://store.steampowered.com/curator/44893122-StmOdyssey/?snr=1_1050_curatorsreviewing_
OnlineAdventurers,https://store.steampowered.com/curator/44894782-OnlineAdventurers/?snr=1_1050_curatorsreviewing_
FunSeekersCollective,https://store.steampowered.com/curator/44893113-FunSeekersCollective/?snr=1_1050_curatorsreviewing_
THE OFFICE REVIEWS,https://store.steampowered.com/curator/33808170-THE-OFFICE-REVIEWS/?snr=1_1050_curatorsreviewing_
E-HeroLegends,https://store.steampowered.com/curator/44746768-E-HeroLegends/?snr=1_1050_curatorsreviewing_
GameCartographers,https://store.steampowered.com/curator/44893129-GameCartographers/?snr=1_1050_curatorsreviewing_
DigitalExplorers,https://store.steampowered.com/curator/44893025-DigitalExplorers/?snr=1_1050_curatorsreviewing_
DigitalNavigators,https://store.steampowered.com/curator/44894775-DigitalNavigators/?snr=1_1050_curatorsreviewing_
PixelExperts,https://store.steampowered.com/curator/44894849-PixelExperts/?snr=1_1050_curatorsreviewing_
GameCriticsCollective,https://store.steampowered.com/curator/44894841-GameCriticsCollective/?snr=1_1050_curatorsreviewing_
PlayScorePros,https://store.steampowered.com/curator/44894881-PlayScorePros/?snr=1_1050_curatorsreviewing_
PlayerAnalysis,https://store.steampowered.com/curator/44894885-PlayerAnalysis/?snr=1_1050_curatorsreviewing_
DigitalGameGurus,https://store.steampowered.com/curator/44894852-DigitalGameGurus/?snr=1_1050_curatorsreviewing_
PixelPerspective,https://store.steampowered.com/curator/44894903-PixelPerspective/?snr=1_1050_curatorsreviewing_
QuestReviewers,https://store.steampowered.com/curator/44894900-QuestReviewers/?snr=1_1050_curatorsreviewing_
StmStars,https://store.steampowered.com/curator/44894788-StmStars/?snr=1_1050_curatorsreviewing_
Join Us In VR,https://store.steampowered.com/curator/36203895-Join-Us-In-VR/?snr=1_1050_curatorsreviewing_
VirtualWanderers,https://store.steampowered.com/curator/44894806-VirtualWanderers/?snr=1_1050_curatorsreviewing_
DigitalDreamersGuild,https://store.steampowered.com/curator/44894795-DigitalDreamersGuild/?snr=1_1050_curatorsreviewing_
GamesCompass,https://store.steampowered.com/curator/44894820-GamesCompass/?snr=1_1050_curatorsreviewing_
GamesBridge,https://store.steampowered.com/curator/44894801-GamesBridge/?snr=1_1050_curatorsreviewing_
DigitallLegends,https://store.steampowered.com/curator/44894813-DigitallLegends/?snr=1_1050_curatorsreviewing_
DigitalNatureExplorers,https://store.steampowered.com/curator/44894829-DigitalNatureExplorers/?snr=1_1050_curatorsreviewing_
Cat Review,https://store.steampowered.com/curator/34473011-Cat-Review/?snr=1_1050_curatorsreviewing_
ThrilledGamers,https://store.steampowered.com/curator/34310167-ThrilledGamers/?snr=1_1050_curatorsreviewing_
Mike The Scoper,https://store.steampowered.com/curator/30818313-Mike-The-Scoper/?snr=1_1050_curatorsreviewing_
Expectation Checklist,https://store.steampowered.com/curator/31940448-Expectation-Checklist/?snr=1_1050_curatorsreviewing_
1001 Video Games You Must Play Before You Die,https://store.steampowered.com/curator/6860132-1001-Video-Games-You-Must-Play-Before-Yo/?snr=1_1050_curatorsreviewing_
BroReviews,https://store.steampowered.com/curator/30240632-BroReviews/?snr=1_1050_curatorsreviewing_
7th Generation Gaming,https://store.steampowered.com/curator/44116626-7th-Generation-Gaming/?snr=1_1050_curatorsreviewing_
N3RDYG1RL REVIEWS,https://store.steampowered.com/curator/37093468-N3RDYG1RL-REVIEWS/?snr=1_1050_curatorsreviewing_
The Dickbutt Experience,https://store.steampowered.com/curator/7124597-The-Dickbutt-Experience/?snr=1_1050_curatorsreviewing_
Nintendo ®,https://store.steampowered.com/curator/5446303-Nintendo-%25C2%25AE/?snr=1_1050_curatorsreviewing_
Review Prizm,https://store.steampowered.com/curator/36992581-Review-Prizm/?snr=1_1050_curatorsreviewing_
Christ Centered Gamers,https://store.steampowered.com/curator/2140873-Christ-Centered-Gamers/?snr=1_1050_curatorsreviewing_
Hash Game,https://store.steampowered.com/curator/43773784-Hash-Game/?snr=1_1050_curatorsreviewing_
Orc Game,https://store.steampowered.com/curator/43773668-Orc-Game/?snr=1_1050_curatorsreviewing_
Shnitzel Reviews,https://store.steampowered.com/curator/30260249-Shnitzel-Reviews/?snr=1_1050_curatorsreviewing_
Destructoid,https://store.steampowered.com/curator/409-Destructoid/?snr=1_1050_curatorsreviewing_
Gamers with only little time,https://store.steampowered.com/curator/30757976-Gamers-with-only-little-time/?snr=1_1050_curatorsreviewing_
"""STAYATHOME"" LIST",https://store.steampowered.com/curator/37246047-STAYATHOME-LIST/?snr=1_1050_curatorsreviewing_
With the Kids,https://store.steampowered.com/curator/28220276-With-the-Kids/?snr=1_1050_curatorsreviewing_
Source. Gold source. Source 2 Engine groups,https://store.steampowered.com/curator/43079039-Source.-Gold-source.-Source-2-Engine-gro/?snr=1_1050_curatorsreviewing_
Best Ideas,https://store.steampowered.com/curator/41373465-Best-Ideas/?snr=1_1050_curatorsreviewing_
Just Game Review,https://store.steampowered.com/curator/41373435-Just-Game-Review/?snr=1_1050_curatorsreviewing_
Detailed Community,https://store.steampowered.com/curator/41373462-Detailed-Community/?snr=1_1050_curatorsreviewing_
Sandbox Dudes,https://store.steampowered.com/curator/6243825-Sandbox-Dudes/?snr=1_1050_curatorsreviewing_
King Julien!,https://store.steampowered.com/curator/39868314-King-Julien/?snr=1_1050_curatorsreviewing_
StrategySavants,https://store.steampowered.com/curator/44688069-StrategySavants/?snr=1_1050_curatorsreviewing_
IndieInsiders,https://store.steampowered.com/curator/44687905-IndieInsiders/?snr=1_1050_curatorsreviewing_
PixelPerfectionists,https://store.steampowered.com/curator/44687784-PixelPerfectionists/?snr=1_1050_curatorsreviewing_
VRVoyagers,https://store.steampowered.com/curator/44687940-VRVoyagers/?snr=1_1050_curatorsreviewing_
